q_Ainv,Sq,nframes_avg
2.122499942779541016e+00,1.103854507830676734e+00,1.000100000000000000e+04
2.135499954223632812e+00,1.016386017544533393e+00,1.000100000000000000e+04
2.148499965667724609e+00,1.070389660837983703e+00,1.000100000000000000e+04
2.161499977111816406e+00,1.135593198866334586e+00,1.000100000000000000e+04
2.174499988555908203e+00,1.085742771828154263e+00,1.000100000000000000e+04
2.187500000000000000e+00,9.549943328398416975e-01,1.000100000000000000e+04
2.200500011444091797e+00,1.132356441571657379e+00,1.000100000000000000e+04
2.213500022888183594e+00,1.039240102376500108e+00,1.000100000000000000e+04
2.226500034332275391e+00,1.016168979415535079e+00,1.000100000000000000e+04
2.239500045776367188e+00,9.911988073796609289e-01,1.000100000000000000e+04
2.252500057220458984e+00,1.066097331176983243e+00,1.000100000000000000e+04
2.265499830245971680e+00,1.110100249423585872e+00,1.000100000000000000e+04
2.278499841690063477e+00,1.172424005003121383e+00,1.000100000000000000e+04
2.291499853134155273e+00,1.000983425765356483e+00,1.000100000000000000e+04
2.304499864578247070e+00,9.736391151056279503e-01,1.000100000000000000e+04
2.317499876022338867e+00,1.009572817812966150e+00,1.000100000000000000e+04
2.330499887466430664e+00,1.072927456118561995e+00,1.000100000000000000e+04
2.343499898910522461e+00,9.951821707890112778e-01,1.000100000000000000e+04
2.356499910354614258e+00,1.059990879035379807e+00,1.000100000000000000e+04
2.369499921798706055e+00,9.793238359598526177e-01,1.000100000000000000e+04
2.382499933242797852e+00,9.759957748536478572e-01,1.000100000000000000e+04
2.395499944686889648e+00,1.116760491615604645e+00,1.000100000000000000e+04
2.408499956130981445e+00,9.069607809607642679e-01,1.000100000000000000e+04
2.421499967575073242e+00,9.239065155495692627e-01,1.000100000000000000e+04
2.434499979019165039e+00,1.085504804846167959e+00,1.000100000000000000e+04
2.447499990463256836e+00,8.833213447094107051e-01,1.000100000000000000e+04
2.460500001907348633e+00,9.213765447240580553e-01,1.000100000000000000e+04
2.473500013351440430e+00,9.685506304613697992e-01,1.000100000000000000e+04
2.486500024795532227e+00,9.526862107316395045e-01,1.000100000000000000e+04
2.499500036239624023e+00,9.248150431767736546e-01,1.000100000000000000e+04
2.512500047683715820e+00,9.455965413783576912e-01,1.000100000000000000e+04
2.525500059127807617e+00,8.999675177190437081e-01,1.000100000000000000e+04
2.538500070571899414e+00,8.487328619804874741e-01,1.000100000000000000e+04
2.551500082015991211e+00,9.452724344085996488e-01,1.000100000000000000e+04
2.564500093460083008e+00,8.600740109148198309e-01,1.000100000000000000e+04
2.577499866485595703e+00,9.758357489041097343e-01,1.000100000000000000e+04
2.590499877929687500e+00,8.219899037738714886e-01,1.000100000000000000e+04
2.603499889373779297e+00,8.212150424531120541e-01,1.000100000000000000e+04
2.616499900817871094e+00,8.848354859049827326e-01,1.000100000000000000e+04
2.629499912261962891e+00,9.037568643830702353e-01,1.000100000000000000e+04
2.642499923706054688e+00,8.509026806410068255e-01,1.000100000000000000e+04
2.655499935150146484e+00,8.460684451517158644e-01,1.000100000000000000e+04
2.668499946594238281e+00,8.873923979524540595e-01,1.000100000000000000e+04
2.681499958038330078e+00,1.007547415965033277e+00,1.000100000000000000e+04
2.694499969482421875e+00,8.555207687572841113e-01,1.000100000000000000e+04
2.707499980926513672e+00,8.566937256832025671e-01,1.000100000000000000e+04
2.720499992370605469e+00,9.509687401088353642e-01,1.000100000000000000e+04
2.733500003814697266e+00,8.921291905633808028e-01,1.000100000000000000e+04
2.746500015258789062e+00,8.604605943337045870e-01,1.000100000000000000e+04
2.759500026702880859e+00,8.560113364869911257e-01,1.000100000000000000e+04
