q_Ainv,Sq,nframes_avg
2.226500034332275391e+00,1.016168978828488001e+00,1.000100000000000000e+04
2.239500045776367188e+00,9.911988066108378126e-01,1.000100000000000000e+04
2.252500057220458984e+00,1.066097331302140461e+00,1.000100000000000000e+04
2.265499830245971680e+00,1.110100248833558956e+00,1.000100000000000000e+04
2.278499841690063477e+00,1.172424002863528658e+00,1.000100000000000000e+04
2.291499853134155273e+00,1.000983427565236727e+00,1.000100000000000000e+04
2.304499864578247070e+00,9.736391154483203803e-01,1.000100000000000000e+04
2.317499876022338867e+00,1.009572818534110406e+00,1.000100000000000000e+04
2.330499887466430664e+00,1.072927454271002778e+00,1.000100000000000000e+04
2.343499898910522461e+00,9.951821681368697714e-01,1.000100000000000000e+04
2.356499910354614258e+00,1.059990881419327291e+00,1.000100000000000000e+04
2.369499921798706055e+00,9.793238366184181531e-01,1.000100000000000000e+04
2.382499933242797852e+00,9.759957740907847512e-01,1.000100000000000000e+04
2.395499944686889648e+00,1.116760491901678476e+00,1.000100000000000000e+04
2.408499956130981445e+00,9.069607799684461513e-01,1.000100000000000000e+04
2.421499967575073242e+00,9.239065151383383245e-01,1.000100000000000000e+04
2.434499979019165039e+00,1.085504802474140273e+00,1.000100000000000000e+04
2.447499990463256836e+00,8.833213453173172081e-01,1.000100000000000000e+04
2.460500001907348633e+00,9.213765449356334791e-01,1.000100000000000000e+04
2.473500013351440430e+00,9.685506326873807303e-01,1.000100000000000000e+04
2.486500024795532227e+00,9.526862113991447778e-01,1.000100000000000000e+04
2.499500036239624023e+00,9.248150415378098010e-01,1.000100000000000000e+04
2.512500047683715820e+00,9.455965423915353441e-01,1.000100000000000000e+04
2.525500059127807617e+00,8.999675146050124530e-01,1.000100000000000000e+04
2.538500070571899414e+00,8.487328608123532181e-01,1.000100000000000000e+04
2.551500082015991211e+00,9.452724332106660077e-01,1.000100000000000000e+04
2.564500093460083008e+00,8.600740091238793239e-01,1.000100000000000000e+04
2.577499866485595703e+00,9.758357487610728187e-01,1.000100000000000000e+04
2.590499877929687500e+00,8.219899032136438466e-01,1.000100000000000000e+04
2.603499889373779297e+00,8.212150419465232831e-01,1.000100000000000000e+04
2.616499900817871094e+00,8.848354862029761403e-01,1.000100000000000000e+04
2.629499912261962891e+00,9.037568639569396600e-01,1.000100000000000000e+04
2.642499923706054688e+00,8.509026800241604738e-01,1.000100000000000000e+04
2.655499935150146484e+00,8.460684435902303679e-01,1.000100000000000000e+04
2.668499946594238281e+00,8.873923989775513999e-01,1.000100000000000000e+04
2.681499958038330078e+00,1.007547417231505316e+00,1.000100000000000000e+04
2.694499969482421875e+00,8.555207692936722674e-01,1.000100000000000000e+04
2.707499980926513672e+00,8.566937277333973588e-01,1.000100000000000000e+04
2.720499992370605469e+00,9.509687407048221797e-01,1.000100000000000000e+04
2.733500003814697266e+00,8.921291899435545014e-01,1.000100000000000000e+04
2.746500015258789062e+00,8.604605942621861292e-01,1.000100000000000000e+04
2.759500026702880859e+00,8.560113385252661189e-01,1.000100000000000000e+04
2.772500038146972656e+00,8.506487798433329806e-01,1.000100000000000000e+04
2.785500049591064453e+00,9.079139955090756997e-01,1.000100000000000000e+04
2.798500061035156250e+00,8.461596446536252536e-01,1.000100000000000000e+04
2.811500072479248047e+00,8.914393207786345252e-01,1.000100000000000000e+04
2.824500083923339844e+00,8.670610880782610996e-01,1.000100000000000000e+04
2.837500095367431641e+00,9.068282812479173671e-01,1.000100000000000000e+04
2.850499868392944336e+00,9.001798561401050947e-01,1.000100000000000000e+04
2.863499879837036133e+00,9.293384077894414341e-01,1.000100000000000000e+04
2.876499891281127930e+00,9.272324606998242347e-01,1.000100000000000000e+04
2.889499902725219727e+00,8.796653420719405814e-01,1.000100000000000000e+04
2.902499914169311523e+00,9.047758302299061528e-01,1.000100000000000000e+04
2.915499925613403320e+00,9.630496813385335253e-01,1.000100000000000000e+04
2.928499937057495117e+00,9.513437578099069869e-01,1.000100000000000000e+04
2.941499948501586914e+00,9.925172199500631454e-01,1.000100000000000000e+04
2.954499959945678711e+00,9.444873207879654897e-01,1.000100000000000000e+04
2.967499971389770508e+00,9.697074129001913567e-01,1.000100000000000000e+04
2.980499982833862305e+00,1.008548027800865166e+00,1.000100000000000000e+04
2.993499994277954102e+00,9.836245862475253565e-01,1.000100000000000000e+04
